SECRETOLINE 100UI/10ML PDR INJ NSFP,OPI
SECRETOLINE 100UI/10ML PDR INJ NSFP,INRESSA
SECRETOLINE 100UI/10ML PDR INJ NSFP,INTSEL CHIMOS
DIGIDOT 80MG PDR INJ NSFP,SERB (L'ARGUENON INTERNATIONAL SERB)
VIT B6 AGT 250MG/5ML SOL NSFP,AGUETTANT
VITAMINE B6 DEL 50MG/1ML INJ NSFP,NULL
VIT B6 AGT 250MG/5ML SOL INJ NSFP,AGUETTANT
VITAMINE B6 DEL 100MG/2ML INJ NSFP,NULL
VITAMINE B6 DEL 500MG/10ML INJ NSFP,NULL
VITAMINE B1 AGT 500MG/5ML INJ NSFP,NULL
VITAMINE B1 DEL 100MG/2ML INJ NSFP,NULL
VITAMINE B1 DEL 50MG/1ML INJ NSFP,NULL
VITAMINE B1 AGT 100MG/1ML INJ NSFP,NULL
EPHYNAL 100MG/2ML SOL INJ NSFP,LEXPHAR SARL
FLOXURIDINE ROCHE 500MG PDR INJ NSFP,NULL
FUCIDINE 500MG PDR ET SOL INJ NSFP,LEO FRANCE SA
PREPAR 10MG CPR NSFP,SOLVAY PHARMA
MESTINON RETARD 180MG CPR,MEDA PHARMA
URECHOLINE 5MG/1ML SOL INJ NSFP,NULL
FLOLAN 0.5MG PDR+SOL INJ 1FL,GLAXOSMITHKLINE
PRISCOL 10MG/1ML PDR ET SOL INJ NSFP,NULL
TENSILON 10MG/1ML SOL INJ NSFP,NULL
VITAMINE B1 PCH 600MG/10ML SOL NSFP,NULL
VITAMINE B6 PCH 200MG/5ML SOL NSFP,NULL
CARBOCAINE 10MG/ML SOL INJ AMP 20ML,ASTRAZENECA
GELFOAM EPONGE NSFP,NULL
TIBURON 200MG GELULE NSFP,MERCK MEDICATION FAMILIALE SAS
TAMOFENE 20MG CPR NSFP,AVENTIS
VITAMINE C DEL 1G/10ML SOL INJ NSFP,NULL
VITAMINE C DEL 500MG/5ML INJ NSFP,NULL
VITAMINE C DEL 200MG/2ML INJ NSFP,NULL
VITAMINE C DEL 100MG/1ML INJ NSFP,NULL
NICOTINELL TTS 14MG/24H DISP TRANSD,NOVARTIS SANTE FAMILIALE SA
VITAMINE C AGT 10% SOL INJ AMP  NSFP,AGUETTANT
VITAMINE C PCH 1G/5ML SOL INJ NSFP,NULL
ZOVIRAX 5% CREME TB 10G,GLAXOSMITHKLINE
NOXYFLEX 2.5G PDR NSFP,INNOTECH INTERNATIONAL
VOLDAL 75MG/3ML SOL INJ Gé NSFP,NOVARTIS PHARMA SAS
VOLDAL 100MG SUPPO Gé NSFP,NOVARTIS PHARMA SAS
DICLOFENAC SDZ 50MG CPR Gé NSFP,NOVARTIS PHARMA SAS
DOMISTAN 25MG CPR NSFP,NULL
VOLDAL 25MG CPR Gé NSFP,NOVARTIS PHARMA SAS
VOLDAL 25MG ENF SUPPO Gé NSFP,NOVARTIS PHARMA SAS
VOLDAL LP 100MG CPR Gé NSFP,NOVARTIS PHARMA SAS
ERGODOSE 4.5MG CAPSULE NSFP,SHIRE FRANCE
BEPRANE 40MG CPR NSFP,NULL
PROPIOCINE 250MG CPR NSFP,AVENTIS
BEPRANE LP 160MG GELULE NSFP,NULL
CIFLOX 250MG CPR,BAYER SANTE
CIFLOX 500MG CPR,BAYER PHARMA
CIFLOX 750MG CPR,BAYER SANTE
LIDOCAINE MRM 0.1G/10ML SOL INJ NSFP,NULL
LOVENOX 2000UI AXa/0.2ML SER NSFP,AVENTIS
LOVENOX 4000UI AXa/0.4ML SER NSFP,AVENTIS
SPARTEINE MRM 200MG/1ML SOL INJ NSFP,NULL
MYCODECYL PDR,H2 PHARMA
SPARTEINE LAV 100MG/2ML SOL INJ NSFP,NULL
SPARTEINE SULF PCH 20MG/1ML SOL NSFP,NULL
SPARTEINE MRM 100MG/1ML SOL INJ NSFP,NULL
SPARTEINE MRM 50MG/1ML SOL INJ NSFP,NULL
BLEU METHYLENE MRM 20MG/2ML SOL NSFP,NULL
BLEU METHYLENE MRM 10MG/1ML SOL NSFP,NULL
CALCIBRONAT 2G CPR EFF,LABORATOIRE DES GRANIONS
BLEU METHYLENE MRM 100MG/10ML NSFP,NULL
BLEU METHYLENE MRM 50MG/5ML SOL NSFP,NULL
BLEU METHYLENE PCH 10MG/1ML SOL NSFP,NULL
BLEU METHYLENE PCH 50MG/5ML SOL NSFP,NULL
BLEU METHYLENE PCH 100MG/10ML NSFP,NULL
RHINATHIOL CARBO 2% ENF NR SIROP,SANOFI AVENTIS FRANCE
APOKINON 1% SOL INJ AMP 1ML NSFP,AGUETTANT
APOMORPHINE AGT 5MG/1ML SOL INJ NSFP,NULL
APOMORPHINE MRM 5MG/1ML SOL INJ NSFP,NULL
APOMORPHINE PCH 10MG/1ML SOL NSFP,NULL
EUROBIOL 250MG CPR NSFP,NULL
APOMORPHINE MRM 10MG/1ML INJ NSFP,NULL
PAPAVERINE MRM 40MG/1ML SOL INJ NSFP,NULL
PAPAVERINE AGT 40MG/1ML SOL INJ NSFP,AGUETTANT
MALOCIDE 50MG CPR,SANOFI AVENTIS FRANCE
ATROPINE DEL 0.5MG/1ML INJ NSFP,NULL
ATROPINE DEL 0.25MG/1ML INJ NSFP,NULL
QUININE DICHLTE AP-HP 100MG/10ML SOL,NULL
QUININE DICHLTE AP-HP 300MG/10ML SOL,NULL
TOLEXINE 100MG GELULE NSFP,BIORGA
ANEXATE 1MG/10ML SOL INJ A10ML NSFP,ROCHE
TROLOVOL 300MG CPR,IMAXIO
PENTOBARBITAL PCH 60MG SUPPO NSFP,NULL
PENTOBARBITAL PCH 120MG SUPPO NSFP,NULL
PENTOBARBITAL PCH 100MG CPR NSFP,NULL
SOLUDECADRON 20MG/5ML INJ NSFP,NULL
XYLOROLLAND ADRENALINE SOL INJ,PIERRE ROLLAND
XYLOROLLAND NORADRENALINE INJ NSFP,NULL
XYLOROLLAND SS VASOCONSTR SOL INJ,PIERRE ROLLAND
VANCOCINE 500MG/6ML PDR ORALE NSFP,NULL
TARGOCID 400MG/3.2ML PDR ET SOL INJ,SANOFI AVENTIS FRANCE
SURGICEL 2 GAZE HEM 2.5x7.5CM NSFP,NULL
ANANDRON 50MG CPR,SANOFI AVENTIS FRANCE
PRADICAINE CORBADRINE 1.8ML INJ NSFP,PIERRE ROLLAND
PRADICAINE SS VASOCONSTR INJ NSFP,PIERRE ROLLAND
JOSACINE 1000MG PDR ORALE SACH NSFP,BAYER PHARMA
TIBERAL 1G/6ML SOL INJ AMP,SERB (L'ARGUENON INTERNATIONAL SERB)
SOFRADEX COLLYRE NSFP,NULL
DOLIPRANE 500MG CPR,SANOFI AVENTIS FRANCE
THALIDOMIDE PCH 50MG CPR NSFP,NULL
CIFLOX 200MG/100ML SOL INJ FL,BAYER PHARMA
XYLOCAINE 2% NORADR 1/50000 INJ NSFP,NULL
XYLOCAINE 2% NORADR 1/80000 INJ NSFP,NULL
XYLOCAINE 2% ADREN 1/50000 INJ NSFP,NULL
XYLOCAINE 2% ADREN 1/80000 SOL NSFP,NULL
XYLOCAINE 2% ADREN 1/80000 INJ NSFP,NULL
XYLOCAINE 2% SOL INJ AMP NSFP,NULL
UROTRATE 750MG CPR NSFP,NULL
XYLOCAINE 2% SOL INJ CART NSFP,NULL
VIDEX 50MG CPR,BRISTOL MYERS SQUIBB
SOLPREDONE 20MG PDR ET SOL INJ NSFP,NULL
SOLPREDONE 40MG PDR ET SOL INJ NSFP,NULL
SOLPREDONE 120MG PDR ET SOL INJ NSFP,NULL
SOLPREDONE 500MG PDR ET SOL INJ NSFP,NULL
VIRAZOLE 6G/100ML SOL PR AEROSOL,OPI
VIRAZOLE 6G/100ML SOL PR AEROSOL,CSP - CENTRE SPECIALITES PHARMACEUTIQUES
VIRAZOLE 6G/100ML SOL PR AEROSOL,INTSEL CHIMOS
VIRAZOLE 6G/100ML SOL PR AEROSOL,INRESSA
VIRAZOLE 6G/100ML SOL PR AEROSOL,IDIS
CISPLATYL 50MG/50ML PDR SOL INJ NSFP,SANOFI AVENTIS FRANCE
VASOXINE 20MG/1ML SOL INJ NSFP,NULL
LACRISERT 5MG INSERT OPHT NSFP,IDIS
SALAZOPYRINE 3% SUSP RECTALE NSFP,PFIZER
CALCIDIA 1.54G GRANULES SACHET,BAYER SANTE FAMILIALE
LUTERAN 2MG CPR NSFP,SANOFI AVENTIS FRANCE
CLAVENTIN 500MG/20MG PDR INJ IV NC,GLAXOSMITHKLINE
CLAVENTIN 1.5G/100MG PDR INJ IV NSFP,GLAXOSMITHKLINE
CLAVENTIN 3G/200MG PDR INJ NSFP,GLAXOSMITHKLINE
CLAVENTIN 5G/200MG PDR INJ IV,GLAXOSMITHKLINE
FIBORAN 200MG/20ML SOL INJ NSFP,NULL
SCLEREMO 8MG/ML SOL INJ AMP 5ML NSFP,BAILLEUL
TRANDATE 200MG CPR,HAC PHARMA
CEFALOTINE PAN 4G PDR INJ NSFP,NULL
CEFALOTINE PAN 2G PDR INJ NSFP,NULL
CEFALOTINE PAN 1G INJ NSFP,NULL
BETNEVAL 0.1% POMMADE TUBE 10G,GLAXOSMITHKLINE
AMPICILLINE PAN 2G PDR SOL INJ NSFP,NULL
AMPICILLINE PAN 1G PDR SOL INJ NSFP,NULL
AMPICILLINE PAN 0.5G PDR INJ NSFP,NULL
AMPICILLINE PAN 500MG GELULE NSFP,PANPHARMA
AMPICILLINE PAN 250MG/5ML PDR NSFP,PANPHARMA
GENTAMICINE PAN 160MG/2ML SOL INJ,PANPHARMA
GENTAMICINE PAN 80MG/2ML SOL INJ,PANPHARMA
GENTAMICINE PAN 40MG/2ML SOL INJ,PANPHARMA
GENTAMICINE PAN 10MG/1ML SOL INJ,PANPHARMA
THIOTEPA BLN 10MG PDR INJ NSFP,NULL
BURINEX 2MG/4ML SOL INJ,LEO FRANCE SA
ACTILYSE 20MG/20ML PDR/SOL INJ 20ML,BOEHRINGER INGELHEIM FRANCE
ACTILYSE 50MG/50ML PDR/SOL INJ 50ML,BOEHRINGER INGELHEIM FRANCE
BURINEX 5MG/20ML SOL INJ NSFP,NULL
ACTRAPID HM PENFILL 150UI/1.5ML NSFP,NULL
FUROSEMIDE DKT 20MG/2ML INJ NSFP,SANOFI AVENTIS FRANCE
ABBOTICINE 200MG CPR NSFP,ABBOTT FRANCE
ABIOSAN 250MG CPR NSFP,NULL
ALBUMINE LFB 4% SOL INJ 100ML NSFP,LABO FR FRACTIONNEMENT ET BIOTECHNOLOGIE
ALBUMINE MERIEUX 20% 100ML NSFP,NULL
SPASMAG 1.2G/10ML SOL INJ IV,SEROZYM
DIACTANE 200MG GELULE NSFP,MENARINI FRANCE
DIACTANE 100MG GELULE Gé NSFP,MENARINI FRANCE
ADVIL 200MG CPR ENR,PFIZER SANTE FAMILIALE
POR 8 5UI/1ML SDZ SOL INJ NSFP,NULL
CITANEST 40MG/ML SOL INJ NSFP,NULL
CITANEST 40MG/ML ADRENALINE INJ NSFP,NULL
CALCIPARINE 25 000UI/1ML SOL INJ A,SANOFI AVENTIS FRANCE
CITANEST 30MG/ML ADRENALINE INJ NSFP,NULL
ISOCARD 1% SOL SUBLINGUALE,GERDA
LOVENOX 500MG/5ML INJ FL NSFP,AVENTIS
LOVENOX 4000UI Axa/0.4ML INJ AM NSFP,SANOFI AVENTIS FRANCE
LOVENOX 2000UI Axa/0.2ML INJ AM NSFP,SANOFI AVENTIS FRANCE
LOVENOX 200MG/2ML INJ FL NSFP,SANOFI AVENTIS FRANCE
OPHTASILOXANE COLLYRE FL 10ML,ALCON
ALPHACHYMOTRYPSINE CHOAY 21 CPR NSFP,NULL
ALLERGAMMA 500MG/5ML SOL INJ NSFP,NULL
ALGOPRIV GELULE NSFP,NULL
ALGESAL SURACTIVE POMMADE NSFP,NULL
ALVITYL SIROP NSFP,SOLVAY PHARMA
MODUSTATINE 2MG/2ML INJ NSFP,SANOFI AVENTIS FRANCE
ANAUSIN METOCLOP 2.6MG/ML SOL NSFP,MEDA PHARMA
ZYMOFREN 50UPE/10ML SOL INJ NSFP,NULL
VARILRIX 2000UFP PDR ET SOL INJ NSFP,NULL
OXYMETHOLONE 50MG CPR NSFP,NULL
LYSOCLINE 300MG GELULE,TEOFARMA
MIOCHOL 20MG/2ML SOL INTRAOCUL NSFP,NULL
LANGORAN LP 40MG GELULE,SANOFI AVENTIS FRANCE
ADALATE 0.2MG/2ML SOL INJ NSFP,BAYER PHARMA
ACADIONE 250MG CPR,SANOFI AVENTIS FRANCE
ROFLUAL 50MG/5ML SOL BUV NSFP,ROCHE
ROFLUAL 100MG CPR NSFP,ROCHE
CEFAXYL 250MG PDR ORALE SACHET NSFP,NULL
MAGNESPASMYL 47.4MG CPR,ETHYPHARM SA
MAGNESPASMYL 47.4MG/2.5G GRANULES,ETHYPHARM SA
AMOPHAR 500MG/5ML PDR ORALE Gé NSFP,IREX (SYNTHELABO)
AMOPHAR 250MG GELULE NSFP,DAKOTA PHARM
AMOPHAR 250MG/5ML PDR ORALE Gé NSFP,IREX (SYNTHELABO)
AMOPHAR 500MG GELULE Gé NSFP,IREX (SYNTHELABO)
SULFAMETHOXAZOLE/TRIM PANPH CPR NSFP,NULL
SULFAMETHOXAZOLE/TRIM PANP SUSP NSFP,NULL
RIBATRAN CPR NSFP,LABORATOIRES LEURQUIN MEDIOLANUM SA
ACTIFED TOUX SECHE SOL BUV NSFP,MCNEIL SANTE GRAND PUBLIC
RANGASIL 600MG CAPSULE RECTALE NSFP,NULL
DIFFU-K 600MG GELULE,UCB PHARMA SA
VOGALENE 15MG GELULE,TEVA SANTE
TONEDRON 30MG/3ML SOL INJ NSFP,NULL
METHYLPREDNISOLONE DKT 20MGINJ NSFP,SANOFI AVENTIS FRANCE
METHYLPREDNISOLONE DKT 40MG PDR INJ,SANOFI AVENTIS FRANCE
METHYLPREDNISOLONE DKT 120MGINJ NSFP,SANOFI AVENTIS FRANCE
PNEUMO 23 SOL INJ SER,SANOFI PASTEUR MSD SNC
EXTENCILLINE 1.2MUI  SOL INJ NSFP,SANOFI AVENTIS FRANCE
FLUDROCORTISONE AP-HP 0.01MG CPR,NULL
FLUDROCORTISONE AP-HP 50MCG CPR NSFP,NULL
ABBOTICINE 1% POMMADE NSFP,NULL
PRAGMAREL 25MG/ML BUV FL 40ML NSFP,BRISTOL MYERS SQUIBB
HYDROCORTISONE ROUSS 2.5% 5ML NSFP,AVENTIS
TARDYFERON B9 CPR,PIERRE FABRE MEDICAMENT
PROPYLTHIOURACILE AP-HP 50MG NSFP,ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS
AGRAM 500MG CPR EFF NSFP,PIERRE FABRE MEDICAMENT
ISOPRENALINE BBM 0.2MG/10ML INJ NSFP,NULL
ISOPRENALINE BBM 1MG/5ML INJ NSFP,NULL
SODIUM BIC BBM 8.4% INJ 50ML NSFP,B BRAUN MEDICAL
SODIUM BIC BBM 4.2% INJ 50ML NSFP,NULL
ADRENALINE BBM 0.01% INJ IV NSFP,B BRAUN MEDICAL
ADRENALINE BBM 0.01% INJ IC NSFP,NULL
GLYCEROL AP-HP 10% SOL INJ,NULL
COROTROPE 10MG/10ML SOL INJ,SANOFI AVENTIS FRANCE
PLITICAN 50MG/2ML SOL INJ,SANOFI AVENTIS FRANCE
COROTROPE 20MG/20ML SOL INJ NSFP,SANOFI AVENTIS FRANCE
UNACIM 0.5G/1G PDR INJ IM IV AD,PFIZER
UNACIM 1G/2G PDR INJ AD NSFP,PFIZER
UNACIM 250MG/500MG NR INJ ENF NSFP,NULL
UNACIM 250MG/5ML PDR ORALE NSFP,JOUVEINAL
UNACIM 375MG CPR NSFP,NULL
UNACIM 125MG/250MG PDR INJ NR NSFP,NULL
METHADONE AP-HP 5MG/3.75ML SIROP,BOUCHARA RECORDATI
BECOTIDE 250 MICROG SOL INH 80 NSFP,GLAXOSMITHKLINE
VELOSULINE HUMAINE 40UI/ML SOL NSFP,NULL
MIXTARD 50/50 HM 40UI/ML SUSP NSFP,NULL
MIXTARD 30/70 HM 40UI/ML SUSP NSFP,NULL
INSULATARD HM 40UI/ML SUSP INJ NSFP,NULL
TAMARINE GELEE POT 380G NSFP,NULL
ARACYTINE 2G PDR INJ IV,PFIZER
ARTANE 10MG/5ML SOL INJ,SANOFI AVENTIS FRANCE
SURGAM 100MG CPR,SANOFI AVENTIS FRANCE
ARACYTINE 1G PDR INJ IV,PFIZER
EXTRANASE 900NK CPR,ROTTAPHARM
ISORYTHM LP 250MG GELULE,SERP
ISORYTHM LP 125MG GELULE,SERP
ELDOQUIN FORTE 4% CREME NSFP,NULL
TILCOTIL 20MG CPR,MEDA PHARMA
MIFEGYNE 200MG CPR,NORDIC PHARMA
MANNITOL BBM 20% SOL INJ FV 250ML,B BRAUN MEDICAL
MANNITOL BBM 10% INJ FV 250ML NSFP,B BRAUN MEDICAL
DEPO MEDROL 80MG/2ML INJ SER NSFP,PFIZER
MANNITOL PCH 25% SOL INJ 500ML NSFP,NULL
MANNITOL CPF 10% INJ 500ML NSFP,COOPERATION PHARMACEUTIQUE FRANCAISE
VITRIMIX KV (VAMINE GLUCOSE) NSFP,FRESENIUS KABI FRANCE
MYK 1% SOL FL 15ML NSFP,THERATECH
MYK 1% CREME TUBE 15G NSFP,THERATECH
PENTANITRINE PHENOBARBITAL CPR NSFP,NULL
PALACOS R GENTA 250MG CIMENT NSFP,NULL
PALACOS R GENTA 500MG CIMENT NSFP,NULL
STABLON 12.5MG CPR,SERVIER
TESLAC 50MG CPR,OPI
TESLAC 50MG CPR,INRESSA
TESLAC 50MG CPR,INTSEL CHIMOS
TESLAC 50MG CPR,IDIS
HEPARINE CA DKT 12500UI/0.5ML NSFP,DAKOTA PHARM
HEPARINE CA DKT 20000UI/0.8ML NSFP,DAKOTA PHARM
HEPARINE CA DKT 25000UI/1ML NSFP,DAKOTA PHARM
LOGROTON 25MG/200MG CPR,DAIICHI SANKYO FRANCE SAS
COLICORT PDR+SOL AURICULAIRE NSFP,MERCK SHARP & DOHME CHIBRET
FOSCAVIR 12G/500ML SOL INJ NSFP,BELLCO
LEVOCARNIL 1G/10ML SOL BUV,SIGMA TAU FRANCE
HEPARINE CA DKT 5000UI/0.2ML NSFP,DAKOTA PHARM
HEPARINE CA DKT 7500UI/0.3ML A NSFP,DAKOTA PHARM
CETORNAN 10G PDR ORALE ET ENTERALE,CHIESI SA
PREPIDIL 0.5MG/2.5ML GEL,PFIZER
TRIHEXY RCA 2MG CPR,RICHARD
TRIHEXY RCA 5MG CPR,RICHARD
AZACTAM 1G PDR INJ,SANOFI AVENTIS FRANCE
RINGER LAV SOL INJ FV 500ML,CHAIX ET DU MARAIS
AZACTAM 1G/3ML PDR+SOL INJ IM NSFP,SANOFI AVENTIS FRANCE
PHARMADOSE OUATE HEMOST SACHET NSFP,NULL
PEPDINE 20MG CPR NSFP,MERCK SHARP & DOHME CHIBRET
PEPDINE 40MG CPR NSFP,MSD FRANCE
PROFLOR GELULE NSFP,PARKE DAVIS
GARDRINE 0.035MG CAPSULE NSFP,NULL
VIDORA 25MG CPR NSFP,LEURQUIN MEDIOLANUM SA
TETRAHYDROBIOPTERINE SKS 10MG CPR,OPI
TETRAHYDROBIOPTERINE SKS 10MG CPR,INRESSA
TETRAHYDROBIOPTERINE SKS 10MG CPR,INTSEL CHIMOS
TETRAHYDROBIOPTERINE SKS 10MG CPR,IDIS
EZ DERM PANSEMENT NSFP,NULL
PEPTI JUNIOR POUDRE NSFP,NULL
DODECAVIT 0.5MG/ML SOL INJ,SERB (L'ARGUENON INTERNATIONAL SERB)
GALACTOMIN 19 POUDRE NSFP,NULL
LIORESAL 0.05MG/1ML SOL INJ,NOVARTIS PHARMA SAS
LIORESAL 10MG/5ML SOL INJ PERF,NOVARTIS PHARMA SAS
PKU DIAT POUDRE NSFP,NULL
MEGIMIDE 50MG/10ML SOL INJ NSFP,ALPHARMA
DYNOTHEL 2MG CPR NSFP,NULL
AMODEX 1G/5ML PDR+SOL INJ IM  NSFP,BOUCHARA RECORDATI
DOLGIT 5% CREME NSFP,MERCK SERONO
MOPRAL 40MG/10ML PDR ET SOL INJ NSFP,ASTRAZENECA
DULCIPHAK COLLYRE FL 10ML,HORUS PHARMA
INUTEST 5G/20ML SOL INJ NSFP,NULL
PLEGISOL SOL INJ POC 1L,HOSPIRA FRANCE
AMOXICILLINE RPG 1G PDR+SOL INJ NSFP,RPG RANBAXY PHARMACIE GENERIQUES
TROMBOVAR 60MG/2ML SOL INJ,KREUSSLER PHARMA
AMOXICILLINE RPG 500MG/5ML INJ NSFP,NULL
TROMBOVAR 20MG/2ML SOL INJ,KREUSSLER PHARMA
ZENTEL 400MG CPR PELL NSFP,GLAXOSMITHKLINE
FASIGYNE 500MG CPR,TEOFARMA
ZENTEL 0.4G/10ML SUSP BUV,GLAXOSMITHKLINE
MICROPAQUE SCANNER SUSP BUV,GUERBET
UKIDAN 5000UI/2ML PDR ET SOL NSFP,NULL
UKIDAN 25000UI/2ML PDR ET SOL NSFP,NULL
UKIDAN 100000UI/2ML PDR ET SOL NSFP,NULL
RETROVIR 200MG/10ML SOL INJ NSFP,NULL
NATISEDINE CPR NSFP,ELAIAPHARM
ESTRADERM TTS 100 MICROG/24H NSFP,NOVARTIS PHARMA SAS
ESTRADERM TTS 50 MICROG/24H NSFP,NOVARTIS PHARMA SAS
ESTRADERM TTS 25 MICROG/24H DISP,NOVARTIS PHARMA SAS
OSMOTAN G5 SOL INJ POC 500ML NSFP,AGUETTANT
OSMOTAN G10 SOL INJ POC 500ML NSFP,AGUETTANT
SURBRONC 15MG/2ML SOL INJ NSFP,BOEHRINGER INGELHEIM FRANCE
DYSKINEBYL 500MG CAPSULE NSFP,NULL
PERFANE 100MG/20ML SOL INJ AMP 20ML,PROSTRAKAN PHARMA
SPASFON LYOC 80MG LYOPHILISAT ORAL,TEVA SANTE
URONEFREX 125MG GELULE NSFP,NULL
URONEFREX 250MG GELULE NSFP,NULL
PARFENAC 5% CREME TUBE 30G NSFP,WYETH SANTE FAMILIALE
PROMIT 3G/20ML SOL INJ NSFP,PHARMALINK
GLUCAGON NOVO 1MG/2.5ML PDR SOL NSFP,NULL
STILNOX 10MG CPR,SANOFI AVENTIS FRANCE
SOLUDACTONE 100MG PDR ET SOL INJ,PFIZER
SURVITINE CAPSULE NSFP,NULL
SODIUM CHL FAURE 0.9% FL 10ML NSFP,NULL
DATAMICINE 80MG/2ML SOL INJ NSFP,DAKOTA PHARM
GENTAMICINE DKT 160MG/2ML INJ NSFP,SANOFI AVENTIS FRANCE
GENTAMICINE DKT 10MG/1ML INJ NSFP,SANOFI AVENTIS FRANCE
GENTAMICINE DKT 80MG/2ML INJ NSFP,SANOFI AVENTIS FRANCE
GENTAMICINE DKT 40MG/2ML INJ NSFP,SANOFI AVENTIS FRANCE
MUCOLATOR 200MG SOL BUV SACH NSFP,ABBOTT FRANCE
ANALGYL 200MG CPR NSFP,NULL
AINSCRID LP 75MG GELULE NSFP,NULL
HEPT A MYL 313MG/5ML SOL INJ NSFP,SANOFI SYNTHELABO FRANCE
DITHRASIS 3% POMMADE NSFP,NULL
DITHRASIS 0.3% POMMADE NSFP,NULL
DITHRASIS 1% POMMADE NSFP,NULL
KEAL 1G PDR ORALE SACHET NSFP,NULL
ISOPTINE LP 240MG CPR,ABBOTT PRODUCTS SAS
LASILIX 40MG CPR,SANOFI AVENTIS FRANCE
DEFANYL 100MG CPR,EISAI SA
NATISPRAY 0.15MG SOL BUCCALE,PROCTER ET GAMBLE PHARMACEUTICALS FRANCE
TROPHICREME 0.1% CREME VAGINALE,SANOFI AVENTIS FRANCE
ULCAR 1G GRANULES SACHET NSFP,SANOFI AVENTIS FRANCE
AUGMENTIN 125MG/5ML SUSP BUV NSFP,NULL
AUGMENTIN 250MG/62.5MG/5ML PDR NSFP,NULL
CEFIZOX 0.5G PDR INJ IV IM NSFP,AVENTIS
TENSTATEN 50MG GELULE,BOUCHARA RECORDATI
NUBAIN 20MG/2ML SOL INJ NSFP,BRISTOL MYERS SQUIBB
BUSPAR 10MG CPR NSFP,BRISTOL MYERS SQUIBB
MESTACINE 100MG CPR,TONIPHARM
SOPROL 10MG CPR NSFP,WYETH LEDERLE
